cameraID,   x,    y,       z,   width,     height,     theta,        function
1,        0.0,  0.0,   -24.0,    24.0,       19.0,	Math.PI
2,        0.0,  0.0,     0.0,    24.0,       16.0,        0.0
3,      -16.0,  0.0,     0.0,    24.0,       16.0,        0.0
4,      -48.0,  0.0,   -24.0,    24.0,       16.0,    Math.PI
5,      -64.0,  0.0,   -24.0,    24.0,       19.0,    Math.PI
6,       19.0,  0.0,     6.0,     6.0,       19.0,       0.0
7,        0.0,  0.0,     6.0,     6.0,       16.0,       0.0
8,      -16.0,  0.0,     6.0,     6.0,       16.0,       0.0
9,      -32.0,  0.0,     6.0,     6.0,       16.0,       0.0
10,     -48.0,  0.0,     6.0,     6.0,       16.0,         0
12,     21.0,  0.0,     12.0,    11 .0,       16.0,         1.57079632679
13,     21.0,  0.0,     6.0,     11.0,       16.0,         1.57079632679
14,     21.0,  0.0,     -9.0,     11.0,       16.0,         1.57079632679
15,     21.0,  0.0,     -19.0,     11.0,       16.0,         1.57079632679
16,     21.0,  0.0,     -29.0,     11.0,       16.0,         1.57079632679
17,     21.0,  0.0,     -35.0,    11.0,       16.0,         1.57079632679
18,     21.0,  0.0,     -40.0,     11.0,       16.0,         1.57079632679
19,     21.0,  0.0,     -46.0,    11.0,       16.0,         1.57079632679
21,	-26.0,	-13.0,	 -125.0,  18.0,	    13.0,	1.57079632679
22,	-26.0,	-13.0,	 -115.0,  18.0,	    13.0,	1.57079632679
23,	3.0,	-13.0,	 -100.0,  18.0,	    16.0,	1.57079632679
24,	43.0,	-13.0,	 -92.0,  18.0,	    24.0,	1.57079632679
25,	24.0,	-13.0,	 -92.0,  18.0,	    24.0,	1.57079632679
26,	55.0,	-13.0,	 -92.0,  18.0,	    24.0,	1.57079632679
27,	68.0,	-13.0,	 -92.0,  18.0,	    24.0,	1.57079632679
28,	-16.0,	-13.0,	 -93.0,  18.0,	    13.0,	1.57079632679
29,	-26.0,	-13.0,	 -93.0,  18.0,	    13.0,	1.57079632679
30,	-26.0,	-12.0,	 -79.0,	 11.0,	    18.0,	1.57079632679
31,	-26.0,	-12.0,	 -68.0,	 11.0,	    18.0,	1.57079632679
32,	-26.0,	-12.0,	 -57.0,	 11.0,	    18.0,	1.57079632679
33,	-26.0,	-12.0,	 -47.0,	 11.0,	    18.0,	1.57079632679
34,	-26.0,	-12.0,	 -38.0,	 11.0,	    18.0,	1.57079632679
52,	 0.0,	0.0,	-24.0,	24,	19.0,	Math.PI		
16,     21.0,  0.0,     -29.0,     11.0,       16.0,         1.57079

